name	va	documented
__add	0x0088d0c0	no
__div	0x0088d310	no
__eq	0x0088d370	no
__gc	0x0088d390	no
__le	0x0088d350	no
__lt	0x0088d330	no
__mul	0x0088d2f0	no
__newindex	0x0088cca0	no
__sub	0x0088d2d0	no
ActionIsEvidence	0x00708de0	yes
ActionIsStopped	0x00708ea0	yes
ActionLock	0x00708d10	yes
AddAchievementProgress	0x0044ed60	no
AddEvidence	0x00713d00	yes
AddImpact	0x00704b20	yes
AddImpactDependendImpact	0x00704ce0	yes
AddItems	0x0070f620	yes
AddObjectDependendImpact	0x00704c10	yes
AICheckWorkingPlace	0x0070bf50	yes
AIExecutePlan	0x00719710	yes
AIFindGoodClass	0x0070c060	yes
AliasExists	0x00638fd0	yes
AlignTo	0x00706670	yes
AlignToNearest	0x00706700	yes
AllowAllMeasures	0x006f7f60	yes
AllowMeasure	0x006f7ed0	yes
ApplyGraphicsSettings	0x00451a00	no
ApplyShader	0x00708030	no
Assert	0x005cfb30	no
Attach3DSound	0x00706900	yes
AttachModel	0x0070c800	no
BankGetOffer	0x006f5700	yes
BankSetCreditOffer	0x006f5600	yes
BaseFE	0x0070a0b0	yes
BattleFlee	0x0070f030	yes
BattleGetNextEnemy	0x006f9c20	yes
BattleGetWeaponName	0x0070efb0	yes
BattleIsFighting	0x006f9ac0	yes
BattleJoin	0x006f9810	yes
BattleLeave	0x006f9ba0	yes
BattleWeaponPresent	0x006f98f0	yes
BattleWeaponStore	0x006f9b30	yes
BindQuest	0x00714ac0	yes
BlackBoardAddPamphlet	0x0070c8c0	no
BlackBoardRemovePamphlet	0x0070cdd0	no
BlockChar	0x00638930	yes
BlockLocator	0x006ff260	yes
BoardShip	0x0070d770	no
BossCreate	0x006f5220	yes
BuildingBuy	0x00705cf0	yes
BuildingBuyCart	0x00705db0	no
BuildingCanBeEntered	0x006faef0	yes
BuildingCanBeOwnedBy	0x00705ff0	no
BuildingCanHireNewWorker	0x006faf90	no
BuildingCanLevelUp	0x0070ae00	yes
BuildingCanProduce	0x006f5ab0	yes
BuildingFindSimByName	0x00715d90	yes
BuildingFindSimByProperty	0x00715c40	yes
BuildingFindWaterPos	0x0070f290	no
BuildingGetAISetting	0x006f5b80	yes
BuildingGetBaseHP	0x006fae90	yes
BuildingGetBuyPrice	0x006facd0	no
BuildingGetCart	0x00706b00	yes
BuildingGetCartCount	0x00706a10	yes
BuildingGetCharacterClass	0x00703a40	yes
BuildingGetCity	0x00705940	yes
BuildingGetClass	0x007039c0	yes
BuildingGetCutscene	0x00710f10	yes
BuildingGetFixedCosts	0x006fab80	yes
BuildingGetFlag	0x00703ec0	yes
BuildingGetForSale	0x007058d0	yes
BuildingGetFreeBudget	0x006fabe0	yes
BuildingGetInsideSimList	0x006fb070	yes
BuildingGetLevel	0x00703ba0	yes
BuildingGetMaxWorkerCount	0x00703e50	yes
BuildingGetNPC	0x00704210	yes
BuildingGetOwner	0x007056a0	yes
BuildingGetPriceProto	0x006fadb0	yes
BuildingGetPrisoner	0x00704170	no
BuildingGetProducerCount	0x00703910	yes
BuildingGetProfession	0x007042d0	yes
BuildingGetProto	0x007038a0	yes
BuildingGetReligion	0x00703b30	yes
BuildingGetRepairPrice	0x006fae20	yes
BuildingGetRoom	0x00700c50	no
BuildingGetSim	0x00704510	yes
BuildingGetSimCount	0x00704490	yes
BuildingGetType	0x00703ab0	yes
BuildingGetValue	0x006fad40	yes
BuildingGetWaterPos	0x00712b80	no
BuildingGetWorker	0x007043d0	yes
BuildingGetWorkerCount	0x00704360	yes
BuildingGetWorkingEnd	0x00703830	yes
BuildingGetWorkingStart	0x007037c0	yes
BuildingHasIndoor	0x006faff0	no
BuildingHasUpgrade	0x00703ce0	yes
BuildingInternalLevelUp	0x00703630	yes
BuildingIsWorkingTime	0x00702500	no
BuildingLevelMeUp	0x006f5a30	yes
BuildingLockForCutscene	0x0070b040	yes
BuildingRallyWorkers	0x00706800	yes
BuildingSetFlagColor	0x00704080	yes
BuildingSetForSale	0x00705840	yes
BuildingSetOwner	0x00705750	yes
BuildingSetWaterPos	0x00703f70	no
CalcDistance	0x0063ac90	yes
CalculateCourtingDifficulty	0x00701740	yes
CameraBlend	0x00802d20	yes
CameraCheckLineOfSight	0x00802c50	yes
CameraEnableUserUnlock	0x00802c00	no
CameraFollow	0x00802270	yes
CameraIndoorGetBuilding	0x00802970	yes
CameraIndoorGetRoom	0x00802a10	yes
CameraIndoorSetBuilding	0x00802860	yes
CameraIndoorSetRoom	0x008028e0	yes
CameraIsIndoor	0x00802580	yes
CameraIsLocked	0x00802600	no
CameraIsTerrain	0x008025c0	yes
CameraLock	0x00802e90	yes
CameraLockLookAt	0x00802aa0	yes
CameraTerrainSet	0x00802640	yes
CameraTerrainSetPos	0x00802680	yes
CameraUnlock	0x00802bb0	yes
CampaignExit	0x00714590	yes
CanAddItems	0x006fbd40	yes
CanBeControlled	0x006fa7e0	yes
CanBeInterruptetBy	0x006f7620	yes
CanBuildWorkshop	0x006f8500	yes
CarryObject	0x006ff580	yes
CartCheckEscort	0x00706dc0	no
CartCheckFighting	0x00706e60	no
CartCreateEscort	0x00706ce0	no
CartGetEscortCount	0x00706c70	no
CartGetOperator	0x00706bc0	yes
CartGetType	0x00706ed0	yes
CartRemoveEscort	0x00706d50	no
Cast	0x005cbc90	no
cast	0x0088bbd0	no
CC_Continue	0x00450c90	no
CC_DecrementSkill	0x00452d30	no
CC_Finish	0x00450cb0	no
CC_GetClass	0x00452840	no
CC_GetClassNames	0x00452d80	no
CC_GetFirstName	0x00452990	no
CC_GetGender	0x004526d0	no
CC_GetLastName	0x00452aa0	no
CC_GetReligion	0x004527a0	no
CC_GetSkills	0x00452bc0	no
CC_GetZodiac	0x004528f0	no
CC_GetZodiacNames	0x00450c20	no
CC_IncrementSkill	0x00452ce0	no
CC_RandomName	0x00452b90	no
CC_SetBeard	0x00453080	no
CC_SetClass	0x004528a0	no
CC_SetFirstName	0x00452a20	no
CC_SetGender	0x00452720	no
CC_SetHair	0x00453030	no
CC_SetHairColor	0x004530d0	no
CC_SetHat	0x00453120	no
CC_SetLastName	0x00452b30	no
CC_SetReligion	0x004527f0	no
CC_SetSkin	0x00452fe0	no
CC_SetVoice	0x00453170	no
CC_SetZodiac	0x00452950	no
CChangeAnimation	0x00702910	no
CExitCurrentBuilding	0x00712690	no
CFight	0x006fed40	no
CFollow	0x006fd390	no
ChangeAlias	0x00638de0	yes
ChangeAppearance	0x0044cbe0	yes
ChangeGameState	0x004515a0	no
ChangeResidence	0x00706870	yes
CheckGameTimerEnd	0x0070b170	yes
CheckPlayerBankrupt	0x0070aee0	yes
CheckPlayerExtinct	0x0070ae70	yes
CheckSkill	0x007131c0	yes
CHudRemoveCountdown	0x0044e850	no
CIncrementXP	0x00712110	no
CInitAlias	0x0044d790	no
CInitData	0x0044d580	no
CityAddPenalty	0x00701920	yes
CityAssignTrialRoles	0x00718640	yes
CityBuildNewBuilding	0x0070dc10	yes
CityEndOfficeElection	0x00801130	yes
CityFindCrowdedPlace	0x007135e0	yes
CityFindSquad	0x00708f50	yes
CityGetBuildingByName	0x00709c50	yes
CityGetBuildingCount	0x00716fe0	yes
CityGetBuildingCountForCharacter	0x007177f0	yes
CityGetBuildingForCharacter	0x007175d0	yes
CityGetBuildings	0x00717140	yes
CityGetChairmanList	0x008013b0	no
CityGetCitizenCount	0x006f65a0	yes
CityGetCrimeRate	0x006f6610	yes
CityGetDynastyCharList	0x007117a0	no
CityGetEventText	0x00711670	yes
CityGetFreeEventHour	0x00713820	no
CityGetHighestOfficeLevel	0x00800de0	yes
CityGetItemDemand	0x00718ad0	no
CityGetLevel	0x006f6700	yes
CityGetLocalMarket	0x006f6180	yes
CityGetMaxWorkerhutLevel	0x006f6530	yes
CityGetNearestBuilding	0x00717370	yes
CityGetNumEvents	0x007115f0	no
CityGetOffice	0x00800f00	yes
CityGetOfficeCountAtLevel	0x00800e60	yes
CityGetOfficeSessionMemberList	0x008017f0	no
CityGetPenalty	0x007096a0	yes
