name	va	arity	params
__add	0x0088d0c0	-	unresolved
__div	0x0088d310	-	unresolved
__eq	0x0088d370	-	unresolved
__gc	0x0088d390	-	unresolved
__le	0x0088d350	-	unresolved
__lt	0x0088d330	-	unresolved
__mul	0x0088d2f0	-	unresolved
__newindex	0x0088cca0	-	unresolved
__sub	0x0088d2d0	-	unresolved
ActionIsEvidence	0x00708de0	1	object
ActionIsStopped	0x00708ea0	1	object
ActionLock	0x00708d10	2	object,number
AddAchievementProgress	0x0044ed60	3	number,number,object
AddEvidence	0x00713d00	5	sim,sim,guildobject,number,number
AddImpact	0x00704b20	4	guildobject,impactname,number,number
AddImpactDependendImpact	0x00704ce0	4	guildobject,impactname,impactname,number
AddItems	0x0070f620	4	guildobject,number,number,number
AddObjectDependendImpact	0x00704c10	4	guildobject,number,impactname,number
AICheckWorkingPlace	0x0070bf50	3	settlement,number,number
AIExecutePlan	0x00719710	2	object,string
AIFindGoodClass	0x0070c060	1	guildobject
AliasExists	0x00638fd0	1	outalias
AlignTo	0x00706670	2	object,guildobject
AlignToNearest	0x00706700	1	sim
AllowAllMeasures	0x006f7f60	1	object
AllowMeasure	0x006f7ed0	3	object,?,number
ApplyGraphicsSettings	0x00451a00	-	unresolved
ApplyShader	0x00708030	2	sim,string
Assert	0x005cfb30	-	unresolved
Attach3DSound	0x00706900	3	guildobject,string,number
AttachModel	0x0070c800	2	guildobject,object
BankGetOffer	0x006f5700	4	building,sim,number,string
BankSetCreditOffer	0x006f5600	6	building,sim,number,number,number,number
BaseFE	0x0070a0b0	2	sim,string
BattleFlee	0x0070f030	3	guildobject,object,number
BattleGetNextEnemy	0x006f9c20	3	guildobject,guildobject,string
BattleGetWeaponName	0x0070efb0	1	guildobject
BattleIsFighting	0x006f9ac0	1	guildobject
BattleJoin	0x006f9810	4	guildobject,guildobject,bool,bool
BattleLeave	0x006f9ba0	1	guildobject
BattleWeaponPresent	0x006f98f0	1	guildobject
BattleWeaponStore	0x006f9b30	1	guildobject
BindQuest	0x00714ac0	2	string,guildobject
BlackBoardAddPamphlet	0x0070c8c0	3	building,sim,string
BlackBoardRemovePamphlet	0x0070cdd0	2	building,number
BlockChar	0x00638930	1	outalias
BlockLocator	0x006ff260	2	object,object
BoardShip	0x0070d770	2	object,object
BossCreate	0x006f5220	5	object,number,number,number,string
BuildingBuy	0x00705cf0	3	building,sim,number
BuildingBuyCart	0x00705db0	4	building,number,bool,string
BuildingCanBeEntered	0x006faef0	2	building,object
BuildingCanBeOwnedBy	0x00705ff0	2	building,sim
BuildingCanHireNewWorker	0x006faf90	1	building
BuildingCanLevelUp	0x0070ae00	2	building,number
BuildingCanProduce	0x006f5ab0	2	building,string
BuildingFindSimByName	0x00715d90	4	building,string,string,string
BuildingFindSimByProperty	0x00715c40	4	building,string,number,string
BuildingFindWaterPos	0x0070f290	3	object,object,string
BuildingGetAISetting	0x006f5b80	2	building,string
BuildingGetBaseHP	0x006fae90	1	number
BuildingGetBuyPrice	0x006facd0	1	building
BuildingGetCart	0x00706b00	3	building,number,outalias
BuildingGetCartCount	0x00706a10	1	building
BuildingGetCharacterClass	0x00703a40	1	building
BuildingGetCity	0x00705940	2	building,string
BuildingGetClass	0x007039c0	1	building
BuildingGetCutscene	0x00710f10	2	building,string
BuildingGetFixedCosts	0x006fab80	1	building
BuildingGetFlag	0x00703ec0	3	building,string,number
BuildingGetForSale	0x007058d0	1	building
BuildingGetFreeBudget	0x006fabe0	1	building
BuildingGetInsideSimList	0x006fb070	2	building,string
BuildingGetLevel	0x00703ba0	1	building
BuildingGetMaxWorkerCount	0x00703e50	1	building
BuildingGetNPC	0x00704210	3	building,number,string
BuildingGetOwner	0x007056a0	2	building,string
BuildingGetPriceProto	0x006fadb0	1	number
BuildingGetPrisoner	0x00704170	2	building,string
BuildingGetProducerCount	0x00703910	3	building,number,number
BuildingGetProfession	0x007042d0	1	building
BuildingGetProto	0x007038a0	1	building
BuildingGetReligion	0x00703b30	1	building
BuildingGetRepairPrice	0x006fae20	1	building
BuildingGetRoom	0x00700c50	3	building,string,string
BuildingGetSim	0x00704510	3	building,?,outalias
BuildingGetSimCount	0x00704490	1	building
BuildingGetType	0x00703ab0	1	building
BuildingGetValue	0x006fad40	1	building
BuildingGetWaterPos	0x00712b80	3	building,bool,string
BuildingGetWorker	0x007043d0	3	building,number,string
BuildingGetWorkerCount	0x00704360	1	building
